participant_id,form_name,form_size,progress_bar,completion_time_ms,scanpath_length,saccade_velocity,fixation_count,avg_fixation_duration_ms,progress_fixations,progress_fixation_time_ms,attention_ratio,revisits
15,small_with,small,with,24414,33581.00993980118,1.4068666924786577,15,98.66666666666667,12,1227.0,0.05025804866060457,9
16,small_without,small,without,22970,19951.597724126623,1.0019348789021025,3,246.0,2,378.0,0.016456247279059644,2
13,small_with,small,with,30129,47007.87612275692,1.6504932473552907,18,123.61111111111111,11,1091.0,0.03621095954064191,8
14,small_with,small,with,34931,73338.57788922529,2.224091279725513,13,85.6923076923077,9,881.0,0.02522115026767055,7
109,small_with,small,with,4990,6817.593174005402,1.4709890260606913,1,79.0,6,462.0,0.09258517034068137,5
109,small_with,small,with,13657,17915.640235679395,1.3630838773406475,9,99.55555555555556,3,290.0,0.021234531741963828,2
104,small_without,small,without,30886,29574.34903063801,1.1194812782737777,11,185.1818181818182,5,1400.0,0.04532798031470569,5
91,large_without,large,without,38287,17092.532047044668,0.5287889767330194,19,270.0,46,10232.0,0.2672447567059315,19
98,large_with,large,with,42203,81290.11312618176,2.010521472042311,13,96.15384615384616,97,10159.0,0.24071748453901382,56
96,large_without,large,without,112553,136216.11328093664,1.391598354180852,31,198.29032258064515,88,18186.0,0.161577212513216,34
85,large_without,large,without,117553,88627.54895749051,0.8105868482228025,38,260.5,111,24043.0,0.2045290209522513,50
80,large_with,large,with,99642,123395.02038998116,1.3469655553809416,68,104.08823529411765,211,21029.0,0.21104554304409787,119
93,large_with,large,with,44781,40261.39204751959,0.9529039503288999,62,127.41935483870968,95,9790.0,0.21861950380741832,42
8,large_without,large,without,144378,88404.60776610463,0.7030359033562007,77,252.33766233766235,106,21659.0,0.15001593040490935,51
86,large_with,large,with,72311,92479.4428725734,1.376466033123435,68,109.38235294117646,98,9742.0,0.1347236243448438,45
97,large_with,large,with,102066,167245.47727233949,1.7915208255741433,47,107.97872340425532,161,16242.0,0.15913232614190817,103
